TST;TST1;Seq;Lane;dt;dt_real;V;Distance;AC;VC;AG;GW;Axles;Length;A2A;Ovl;Q;T;ESAL;IF;ImgPath;ch203;ch204;ch201;ch202;ch205;ch206
20190319 06:16:31;6:16:31;1;A;0:50:50;0.847;17.3;14.65694444;2;140;2;3;1.5 1.5;0.71;0.71;0;29;7.8;0;0;;{{-3.297,32.139}};{{-4.051,15.854}};{{0.038,1.000}};{{6.932,10.439}};{{5771.981,5785.943}};{{-2961.503,-2954.024}}
20190319 07:07:21;7:07:21;1;A;2:47:07;2.785;108;300.81;2;10;2;5.9;5.6 0.3;1.15;1.15;0;39;7.7;0.02;0;;{{-22.883,16.205}};{{-9.192,9.685}};{{0.048,0.969}};{{0.749,10.369}};{{5857.547,5858.526}};{{-2922.438,-2921.913}}
20190319 09:54:28;9:54:28;1;A;5:20:02;5.334;68.8;366.9715556;2;140;11;4.6;1.5 3.1;10.11;10.11;0;40;7.9;0.01;0;;{{-21.120,19.314}};{{-11.552,9.465}};{{1.340,10.218}};{{0.749,10.409}};{{6069.137,6070.816}};{{-2809.640,-2808.749}}
20190319 15:14:30;15:14:30;1;A;1:00:12;1.003;50.4;50.568;2;140;11;9.7;3.3 6.4;8.38;8.38;0;13;8.9;0.18;1.01;;{{-3.253,43.817}};{{-7.353,16.398}};{{1.050,10.208}};{{6.471,10.379}};{{6690.422,6691.512}};{{-2496.544,-2496.020}}
20190319 16:14:42;16:14:42;1;A;0:23:46;0.396;50.1;19.84516667;2;140;11;4.9;1.6 3.2;9.73;9.73;0;37;9.3;0.01;0;;{{-22.826,22.105}};{{-12.414,9.051}};{{1.150,10.238}};{{6.581,10.419}};{{6740.499,6742.357}};{{-2472.962,-2472.108}}
20190319 16:38:28;16:38:28;1;A;2:22:57;2.383;74.1;176.54325;2;140;2;5.9;4.4 1.5;0.79;0.79;0;36;9.3;0.02;1.24;;{{-13.797,18.097}};{{-0.299,12.636}};{{1.040,10.238}};{{6.411,10.419}};{{6898.741,6903.333}};{{-2399.414,-2397.279}}
20190319 19:01:25;19:01:25;1;A;0:19:07;0.319;81.4;25.93494444;2;140;11;14.3;5.6 8.7;11.58;11.58;0;37;9.3;0.67;0;;{{-3.216,37.810}};{{-2.852,19.447}};{{1.150,10.238}};{{6.561,10.389}};{{7048.318,7048.984}};{{-2331.219,-2330.903}}
20190319 19:20:32;19:20:32;1;A;0:40:50;0.681;73.4;49.95277778;2;140;11;13.4;5.1 8.3;11.08;11.08;0;35;9.3;0.54;0;;{{-4.719,40.392}};{{-5.921,17.949}};{{1.220,10.238}};{{6.461,10.399}};{{7064.468,7065.216}};{{-2323.466,-2323.112}}
20190319 20:01:22;20:01:22;1;A;0:54:23;0.906;43.1;39.06536111;2;10;11;8.8;8.5 0.3;1.77;1.77;0;23;9.2;0.53;1.04;;{{-2.310,39.212}};{{-3.636,18.830}};{{0.048,1.090}};{{6.300,10.409}};{{7095.165,7095.926}};{{-2308.925,-2308.564}}
20190319 20:55:45;20:55:45;1;A;0:34:22;0.573;53.4;30.58633333;2;20;11;4.9;3.0 1.9;2.3;2.3;0;19;9.2;0.01;0;;{{-4.010,37.973}};{{-9.628,12.853}};{{1.040,1.240}};{{4.016,4.026}};{{7116.363,7117.035}};{{-2298.905,-2298.584}}
