,0,1
0,1005,1007
1,0.01,0.01
2,0.01,0.1
3,0.01,0.2
4,0.01,0.3
5,0.01,0.4
6,0.01,0.5
7,0.01,0.6
8,0.01,0.7
9,0.01,0.8
10,0.01,0.9
11,0.1,0.01
12,0.1,0.1
13,0.1,0.2
14,0.1,0.3
15,0.1,0.4
16,0.1,0.5
17,0.1,0.6
18,0.1,0.7
19,0.1,0.8
20,0.1,0.9
21,0.2,0.01
22,0.2,0.1
23,0.2,0.2
24,0.2,0.3
25,0.2,0.4
26,0.2,0.5
27,0.2,0.6
28,0.2,0.7
29,0.2,0.8
30,0.2,0.9
31,0.3,0.01
32,0.3,0.1
33,0.3,0.2
34,0.3,0.3
35,0.3,0.4
36,0.3,0.5
37,0.3,0.6
38,0.3,0.7
39,0.3,0.8
40,0.3,0.9
41,0.4,0.01
42,0.4,0.1
43,0.4,0.2
44,0.4,0.3
45,0.4,0.4
46,0.4,0.5
47,0.4,0.6
48,0.4,0.7
49,0.4,0.8
50,0.4,0.9
