,Node_1,Node_2,Node_3,Node_4,Node_Nr
0,88337,89209,89212,89211,100001
1,89209,89196,89210,89212,100002
2,89210,88380,88379,89212,100003
3,88379,88378,89211,89212,100004
4,88337,88338,89215,89209,100005
5,88338,88339,89213,89215,100006
6,89213,89197,89214,89215,100007
7,89214,89196,89209,89215,100008
8,88364,89216,89218,88365,100009
9,89216,88323,88324,89218,100010
10,88324,88325,89217,89218,100011
11,89217,88366,88365,89218,100012
12,88325,88326,89220,89217,100013
13,88326,88327,89219,89220,100014
14,89219,88368,88367,89220,100015
15,88367,88366,89217,89220,100016
16,88362,89221,89222,88363,100017
17,89221,88321,88322,89222,100018
18,88322,88323,89216,89222,100019
19,89216,88364,88363,89222,100020
20,88327,88328,89224,89219,100021
21,88328,88329,89223,89224,100022
22,89223,88370,88369,89224,100023
23,88369,88368,89219,89224,100024
24,88360,89225,89226,88361,100025
25,89225,88319,88320,89226,100026
26,88320,88321,89221,89226,100027
27,89221,88362,88361,89226,100028
28,88319,89225,89228,88318,100029
29,89225,88360,88359,89228,100030
30,88359,88358,89227,89228,100031
31,89227,88317,88318,89228,100032
32,88329,88330,89230,89223,100033
33,88330,88331,89229,89230,100034
34,89229,88372,88371,89230,100035
35,88371,88370,89223,89230,100036
36,88331,88332,89232,89229,100037
37,88332,88333,89231,89232,100038
38,89231,88374,88373,89232,100039
39,88373,88372,89229,89232,100040
40,88333,88334,89234,89231,100041
41,88334,88335,89233,89234,100042
42,89233,88376,88375,89234,100043
43,88375,88374,89231,89234,100044
44,88317,89227,89236,88316,100045
45,89227,88358,88357,89236,100046
46,88357,88356,89235,89236,100047
47,89235,88315,88316,89236,100048
48,88335,88336,89237,89233,100049
49,88336,88337,89211,89237,100050
50,89211,88378,88377,89237,100051
51,88377,88376,89233,89237,100052
52,88346,88345,89240,89239,100053
53,88345,1201,88916,89240,100054
54,88916,88915,89238,89240,100055
55,89238,89172,89239,89240,100056
56,100,88304,89243,88894,100057
57,88304,88305,89241,89243,100058
58,89241,89180,89242,89243,100059
59,89242,88895,88894,89243,100060
60,88909,89244,89247,88910,100061
61,89244,89175,89245,89247,100062
